maskapai,asal,tujuan,tahun,penumpang,harga
macan,JOG,SRG,2014,126,2414238
country link,BTO,BTH,2016,141,2707440
macan,BDO,SRG,2016,189,3751886
rajawali,BDO,PDG,2017,117,2224218
water asia,KNO,BTH,2015,82,1473728
macan,KNO,PDG,2016,172,3841582
mataram,JOG,PDG,2014,183,3606063
rajawali,KNO,DPS,2015,142,2740354
water asia,KNO,SRG,2014,181,3576370
macan,BDO,BTH,2017,163,3193411
mataram,BTO,DPS,2017,182,3604443
macan,JOG,UPG,2014,60,1018254
mataram,PKU,BTH,2017,161,3138040
mataram,BTO,BTH,2017,79,1422254
country link,PKU,PDG,2014,183,3607823
mataram,BTO,BTH,2015,70,1227011
mataram,BDO,UPG,2016,133,2563645
macan,CGK,BTH,2016,102,1900459
macan,PKU,HLP,2015,159,3105605
water asia,PKU,UPG,2014,94,1745372
water asia,CGK,DPS,2016,192,3811799
country link,PKU,HLP,2017,109,2061650
rajawali,CGK,DPS,2014,199,3957458
country link,BDO,SRG,2016,152,2951728
mataram,CGK,DPS,2014,106,1995307
rajawali,CGK,DPS,2016,170,3345343
water asia,JOG,DPS,2014,78,1400073
water asia,KNO,SRG,2016,177,3487519
mataram,JOG,PDG,2017,91,1671732
mataram,BTO,SRG,2017,107,2009480
macan,BTO,HLP,2014,115,2195797
macan,BTO,DPS,2014,195,1355432
macan,PKU,HLP,2017,144,2775862
rajawali,BDO,BTH,2016,198,3951405
water asia,BTO,DPS,2017,66,1139462
mataram,KNO,BTH,2015,108,2040222
mataram,BTO,PDG,2015,167,3281444
country link,PKU,SRG,2014,116,2221382
water asia,JOG,DPS,2015,163,3189854
water asia,CGK,BTH,2014,85,1539488
rajawali,BDO,HLP,2015,137,2637392
rajawali,BDO,UPG,2014,77,2717180
rajawali,KNO,BTH,2015,75,1317225
rajawali,BTO,DPS,2016,88,1610295
water asia,BTO,BTH,2017,77,1376272
macan,PKU,BTH,2015,101,1877363
macan,KNO,PDG,2015,188,3735450
country link,JOG,HLP,2017,62,1048662
mataram,PKU,SRG,2016,85,1549352
mataram,JOG,BTH,2017,182,3591738
rajawali,BTO,UPG,2014,174,3428726
rajawali,JOG,HLP,2015,119,2272709
macan,PKU,BTH,2016,107,2135176
country link,KNO,BTH,2014,114,2174932
water asia,PKU,BTH,2014,124,2368825
water asia,BTO,DPS,2015,192,3814337
rajawali,BTO,BTH,2015,167,3282199
rajawali,PKU,SRG,2015,178,3504743
macan,PKU,BTH,2016,162,3174758
macan,JOG,BTH,2016,96,1786339
macan,CGK,BTH,2017,101,1867988
mataram,JOG,HLP,2015,154,3005485
rajawali,PKU,PDG,2015,192,3804925
